name,location,address,type
Cranium One,Eti-Osa,"1 Towry Close, Off Idejo Street, Victoria Island, Lagos",Co- Working Spaces
WorkStation,Eti-Osa,"7 Ibiyinka Olorunbe Close, Victoria Island, Lagos",Co- Working Spaces
Seedspace Lagos,Ikoyi,"23 Agodogba Avenue, Parkview Estate, Lagos",Co- Working Spaces
V8 Valley,Eti-Osa,"7b Dr S Ezekuse Close, Lekki Phase 1, Lagos",Co- Working Spaces
ReDahlia Workspaces,Ikeja,"43B Emina Crescent, Off Toyin Street, Ikeja, Lagos",Co- Working Spaces
Wennovation Hub,Ikeja,"11a Rev Ogunbiyi Street, Off Oba Akinjobi Street, Ikeja GRA, Lagos",Co- Working Spaces
Vibranium Valley,Ikeja,"42 Local Airport Road, Ikeja, Lagos",Co- Working Spaces
Workbay,Ikeja,"3-9 Olu Koleosho Street, Off Simbiat Abiola Way, Ikeja, Lagos",Co- Working Spaces
eeSpace,Ikeja,"Cardinal Building, 3 Ijaiye Road, Ogba, Ikeja, Lagos",Co- Working Spaces
Hub30 Coworking Space,Amuwo-Odofin,"41 Road, G Close, No 3 Festac Town, Lagos",Co- Working Spaces
The Lighthouse,Lagos Island,"35 Moloney Street, Obalende, Lagos Island, Lagos",Co- Working Spaces
A1 Spaces,Lagos Island,"Suite 203E, City Hall, Catholic Mission Street, Lagos Island, Lagos",Co- Working Spaces
Smart X Business Hub,Ikeja,"16B Mobolaji Bank Anthony Way, Behind Keystone Bank, Maryland, Lagos",Co- Working Spaces
Venia Business Hub,Eti-Osa,"8 The Providence Street, Lekki Phase I, Lagos",Co- Working Spaces
Workquarters,Ikorodu,"Blue House, Jumofak Bus Stop, 134 Lagos Ikorodu Express Road, Ikorodu, Lagos, Nigeria",Co- Working Spaces
Vatebra Tech Hub,Along Lekki-Epe,"Royal Office Building, 4th floor, KM 25 Lekki Epe Expressway, Ajiwe-Ajah, Opposite Fidelity Bank",Co- Working Spaces
Boluwatife Food Canteen,Agege,"7 College Road, Iju Road, Agege, Lagos",Resturants and Cafes
Ubok-Abasi Restaurant,Agege,"83 Dopemu Road, Dopemu, Agege, Lagos",Resturants and Cafes
Vintage Africana,Agege,"6 William Elliot North Street, Oko-Oba, Agege, Lagos",Resturants and Cafes
Yenji Restaurant,Agege,"37 George Street, Agege, Lagos",Resturants and Cafes
Firstview Luxury Apartment And Hotel,"Amuwo Odofin, Lagos","1 Adeniran Bamishile Street, First Estate, Off Raji Rasaki Road, Amuwo Odofin, Lagos",Resturants and Cafes
Promise Land Hotels Limited,"Amuwo Odofin, Lagos","1B Badagry Expressway, Maza Maza Bus-Stop, Amuwo-Odofin, Lagos",Resturants and Cafes
Sunfit International Limited,"Amuwo Odofin, Lagos","327/329 Rafiu Babatunde Tinubu Road, Amuwo Odofin, Lagos",Resturants and Cafes
Big Fish Restaurant And Bar,"Amuwo Odofin, Lagos","Plot 270, 4th Avenue, Festac Town, Amuwo Odofin, Lagos",Resturants and Cafes
Cafe Maison,Eti-Osa,"25 Adelowo Adedeji Street, Lekki Phase 1, Eti-Osa, Lagos",Resturants and Cafes
Jevinik Restaurant,Eti-Osa,"14B Agoro Odiyan Street, Victoria Island, Eti-Osa, Lagos",Resturants and Cafes
Mama Cass Restaurant,Eti-Osa,"Plot 271B Ajose Adeogun Street, Eti-Osa, Lagos",Resturants and Cafes
Orchid Bistro Cafe,Ikeja,"58a Isaac John Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
New China Restaurant,Ikeja,"Opic Plaza, 26 Mobolaji Bank Anthony Way, Ikeja, Lagos",Resturants and Cafes
Domino's Pizza,Ikeja,"22 Lateef Jakande Road, Agidingbi, Ikeja, Lagos",Resturants and Cafes
Jevinik Place,Ikeja,"21 Isaac John Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
Yellow Chilli Restaurant & Bar,Ikeja,"35 Joel Ogunnaike Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
ZEN Garden,Ikeja,"60 Isaac John Street, G.R.A, Ikeja, Lagos",Resturants and Cafes
Bungalow Restaurant,Ikeja,"1296 Akin Adesola Street, Victoria Island, Ikeja, Lagos",Resturants and Cafes
The Pub Restaurant & Bar,Apapa,"68 Marine Road, Apapa, Lagos",Resturants and Cafes
Palace Chinese Restaurant,Apapa,"1 Kofo Abayomi Street, Apapa, Lagos",Resturants and Cafes
Bayroot Bar and Lounge,Apapa,"23 Warehouse Road, Apapa, Lagos",Resturants and Cafes
TM Restaurant,Apapa,"5 Point Road, Apapa, Lagos",Resturants and Cafes
Tarragon,Ikoyi,[Address not specified],Resturants and Cafes
Danfo Bistro,Ikoyi,[Address not specified],Resturants and Cafes
Oh La La Cafe Lagos,Ikoyi,[Address not specified],Resturants and Cafes
Jay's Diner,Ikoyi,[Address not specified],Resturants and Cafes
7Spices Restaurant & Bar,Ikoyi,[Address not specified],Resturants and Cafes
Blackbell,Lekki,"Block 2, Plot 69, Admiralty Way, Lekki, Lagos",Resturants and Cafes
Blackbell,Victoria Island,"No 57 Adeola Odeku Street, off Akin Adesola, Victoria Island, Lagos",Resturants and Cafes
Chicken Republic,Victoria Island,"Plot 3 Block III, Yesuf Abiodun Way, (beside Four Points Hotels), Victoria Island, Lagos",Resturants and Cafes
The Place Restaurant,Lekki,[Address not specified],Resturants and Cafes
Chicken Republic,Sangotedo,"KM 46 Lekki - Epe Expressway, Farm Bus-Stop, Sangotedo, Eti-Osa, Lagos",Resturants and Cafes
Chicken Republic,Ikeja,"37A Opebi Road, Opposite Adebola House, Ikeja, Lagos",Resturants and Cafes
Yellow Chilli Restaurant,Victoria Island,"27 Oju Olobun Close, Victoria Island, Lagos",Resturants and Cafes
Yellow Chilli Restaurant,Ikeja,[Address not specified],Resturants and Cafes
Lalaba,Ikeja,[Address not specified],Resturants and Cafes
Bogobiri House,Ikoyi,"9 Maitama Sule Street, Off Awolowo Road, Ikoyi, Lagos",Resturants and Cafes
Sherlaton Restaurant,Ikoyi,"108 Awolowo Road, Ikoyi, Lagos",Resturants and Cafes
Santa Fe Restaurant,Ikoyi,"144 Awolowo Road, Ikoyi, Lagos",Resturants and Cafes
Saipan Restaurant & Bar,Victoria Island,"3rd & 4th Floor, Dream Plaza, 7 Bishop Aboyade Cole Street, Victoria Island, Lagos",Resturants and Cafes
The Restaurant,Victoria Island,"29 Karimu Kotun Street, Victoria Island, Lagos",Resturants and Cafes
Windows,Victoria Island,"Shop 4, Food Court, Mega Plaza, 14 Idowu Martins Street, Victoria Island, Lagos",Resturants and Cafes
Café Neo,Victoria Island,[Specific address not availabl,Resturants and Cafes
Tarzan Tourist Restaurant & Bar,Lekki,"Plot 6A, Lekki-Epe Expressway, Opp. Maroko Police Station, Lekki, Lagos",Resturants and Cafes
Vista Guest House & Restaurant,Gbagada,"Plot 175, Gbagada Estate, Phase I, Oworonsoki Expressway, Gbagada, Lagos",Resturants and Cafes
Gbagada,,,Resturants and Cafes
Tee-Kay Restaurant,Ikeja,"170 Obafemi Awolowo Way, Ikeja, Lagos",Resturants and Cafes
U.J. Restaurant,Ikeja,"3 Mokuolu Street, Ogba, Ikeja, Lagos",Resturants and Cafes
Yellow Chilli Restaurant,Ikeja,[Specific address not available],Resturants and Cafes
Palatable Food And Event Place,Badagry,"G422+6FG, 103101, Agbara, Nigeria",Resturants and Cafes
Symplinatural,Badagry,"Plot 4, Block E, Amuwo Odofin Ind. Layout, Orile, Expressway, Badagry Nigeria, 103101",Resturants and Cafes
Ar-Rahkab Beach and Holiday Resort,Badagry,"9QMG+RH7, 103211, Badagry, Nigeria",Resturants and Cafes
Winnys Eatery,Badagry,"F2MJ+3WC, Lagos - Badagry Expy, 103101, Badagry, Nigeria",Resturants and Cafes
Boiling Pot,Badagry,"Joseph Dosu Way, 103101, Badagry, Nigeria",Resturants and Cafes
Jembe Dine&Wine,Badagry,"Ajara Topa Junction, Off Badagry Seme Expressway, Badagry Local Government, 103101, Lagos",Resturants and Cafes
De Rolas Hotel Limited,Ikorodu,"1/3, Twins Avenue, Off Bola Hameed Tinubu Road, Oreyo Igbogbo, Ikorodu, Lagos",Hotels and Guest Houses
Mambillah Hotel,Ikorodu,"6-10 Omodisu Street, Off Isawo Road, Beside Oando Filling Station, Agric, Ikorodu, Lagos",Hotels and Guest Houses
Ikorodu Highland Hotel,Ikorodu,"Itokun Road, Kasholori, Ikorodu, Lagos",Hotels and Guest Houses
Sheriffyt Royale Hotel And Suites,Ikorodu,"95/97, Shagamu Road, Ikorodu, Lagos",Hotels and Guest Houses
Abvic Executive Hotel,Ikorodu,"50, Igbodu Road, Imowonla Agura Gberigbe, Ikorodu, Lagos",Hotels and Guest Houses
Norman Hotel,Ikorodu,"11A Olakunle Shoga Street, Off Aruna Bus Stop, Ikorodu, Lagos",Hotels and Guest Houses
Keblat Resort Hotel,Ikorodu,"Isawo Road, Opposite U.P.E School, Agric, Ikorodu, Lagos",Hotels and Guest Houses
Paradise Suite,Ikorodu,"Beside Mama Nurse House, Omoleye Bus Stop, Off Debolu Road, Ikorodu-Shagamu Road, Ogijo, Lagos",Hotels and Guest Houses
Harmony Castle,Ikorodu,"70/72, Gbasemo Street, Aga, Ikorodu, Lagos",Hotels and Guest Houses
Sisano Guest House,Ikorodu,"25 Chief Ibrahim Street, Behind Benson Estate, Benson Bus Stop, Ikorodu, Lagos",Hotels and Guest Houses
Famade Guest House,Ikorodu,"1 Famade Dede Street, Off Oba Sekumade Road, Opposite Omologede Estate, Ogolonto, Ikorodu, Lagos",Hotels and Guest Houses
Dam Jay Hotel,Ikorodu,"27, Alhaji Yusuf Street, Off Igbe Road, Igbogbo, Ikorodu, Lagos",Hotels and Guest Houses
Jyrox Royal Hotel,Ikorodu,"1, Jyrox Royal Street, Behind Total Filling Station, Odogunyan, Ikorodu, Lagos",Hotels and Guest Houses
Giant Star Hotel Limited,Ikorodu,"4 Ipara Street, Off Akintola Haruna Street, Opposite Diamond Bank, Haruna Bus Stop, Ikorodu, Lagos",Hotels and Guest Houses
Al Peace Suites,Ikorodu,"20, Razak Taiwo Street, Off Igbe Road, Igbogbo, Ikorodu, Lagos",Hotels and Guest Houses
Kenth Royal Hotel,Ikorodu,"Gberigbe Agura Road, Ikorodu, Lagos",Hotels and Guest Houses
Samelot Hotels,Ikorodu,"Samelot Street, Ikorodu, Lagos",Hotels and Guest Houses
Sheraton Lagos Hotel,Ikeja,"30, Mobolaji Bank Anthony Way, Ikeja, Lagos",Hotels and Guest Houses
Protea Hotel by Marriott Ikeja Select,Ikeja,"Plot 2, Assibifi Road, Ikeja, Lagos",Hotels and Guest Houses
"Radisson Hotel, Lagos Ikeja",Ikeja,"42/44, Isaac John Street, GRA Ikeja, Lagos",Hotels and Guest Houses
Welcome Centre Hotels,Ikeja,"70, International Airport Road, Ikeja, Lagos",Hotels and Guest Houses
De Rembrandt Hotels & Suites,Gbagada,"23, Emmanuel Keshi Street, Magodo Phase II, Gbagada, Lagos",Hotels and Guest Houses
Watercress Hotels,Gbagada,"48, Oritshe Street, Off Obafemi Awolowo Way, Gbagada, Lagos",Hotels and Guest Houses
Presken Hotel @ Maryland,Gbagada,"131, Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
Posh Apartments Metro,Gbagada,"71, Aba Johnson Crescent, Off Adeniyi Jones Avenue, Ikeja, Lagos",Hotels and Guest Houses
The Lilygate Hotel,Lekki,"2, Olubunmi Owa Street, Lekki Phase 1, Lagos",Hotels and Guest Houses
Lekki Heights Hotel,Lekki,"10B, Admiralty Way, Lekki Phase 1, Lagos",Hotels and Guest Houses
Citilodge Hotel,Lekki,"No.1 Goshen Estate Road, by Elf Bus Stop, Lekki, Lagos",Hotels and Guest Houses
Pelican Hotel Lekki,Lekki,"Chevy View Estate, Lekki, Lagos",Hotels and Guest Houses
Eko Hotels & Suites,Victoria Island,"Plot 1415, Adetokunbo Ademola Street, Victoria Island",Hotels and Guest Houses
Radisson Blu Anchorage Hotel,Victoria Island,"1A, Ozumba Mbadiwe Avenue, Victoria Island, Lagos",Hotels and Guest Houses
The Federal Palace Hotel,Victoria Island,"6-8, Ahmadu Bello Way, Victoria Island, Lagos",Hotels and Guest Houses
Victoria Crown Plaza Hotel,Victoria Island,"292B, Ajose Adeogun Street, Victoria Island, Lagos",Hotels and Guest Houses
The Guest House,Ikoyi,"3A, Ojora Road, Ikoyi, Lagos",Hotels and Guest Houses
Parkview Astoria Hotel,Ikoyi,"7B, Etim Inyang Crescent, Parkview Estate, Ikoyi",Hotels and Guest Houses
The Wheatbaker,Ikoyi,"4, Onitolo Road (Lawrence Road), Ikoyi, Lagos",Hotels and Guest Houses
Movenpick Hotel Ikoyi,Ikoyi,"47, Alfred Rewane Road, Ikoyi, Lagos",Hotels and Guest Houses
De Santos Hotel,Agege,"7 Shasha Road, Akowonjo Roundabout, Agege, Lagos",Hotels and Guest Houses
Posh Apartments,Agege,"477A, Omotunde Akinsola Crescent, Omole Phase 1, Ikeja, Lagos",Hotels and Guest Houses
Watercress Hotels,Agege,"48 Oritshe Street, Off Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
Presken Hotel @ Maryland,Agege,"131 Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
God's Touch Apartments,Alimosho,"3, Olaribigbe Street, Off Governor's Road, Ikotun, Lagos",Hotels and Guest Houses
Ivy Hotel Emerald,Alimosho,"6, Akinola Street, Off Akinyele Bus Stop, Egbeda, Lagos",Hotels and Guest Houses
Joygate Hotel & Suites,Alimosho,"1-5, Joygate Street, Off LASU-Isheri Expressway, Alimosho, Lagos",Hotels and Guest Houses
De Maria Inn,Alimosho,"12, Olusoji Street, Off Council Bus Stop, Idimu, Lagos",Hotels and Guest Houses
Festival Hotel Festac Lagos,Amuwo Odofin,"Amuwo Odofin, Lagos",Hotels and Guest Houses
Chelsea Suites Limited,Amuwo Odofin,"Amuwo Odofin, Lagos",Hotels and Guest Houses
Brighams Suites Limited,Amuwo Odofin,"Amuwo Odofin, Lagos",Hotels and Guest Houses
Popbeachclub Suites Ilashe,Amuwo Odofin,"Amuwo Odofin, Lagos",Hotels and Guest Houses
De Santos Hotel,Ifako-Ijaiye,"7 Shasha Road, Akowonjo Roundabout, Agege, Lagos",Hotels and Guest Houses
Posh Apartments,Ifako-Ijaiye,"477A, Omotunde Akinsola Crescent, Omole Phase 1, Ikeja, Lagos",Hotels and Guest Houses
Watercress Hotels,Ifako-Ijaiye,"48 Oritshe Street, Off Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
Presken Hotel @ Maryland,Ifako-Ijaiye,"131 Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
De Rembrandt Hotels,Kosofe,"23 Emmanuel Keshi Street, Magodo Phase II, Lagos",Hotels and Guest Houses
Posh Apartments,Kosofe,"477A, Omotunde Akinsola Crescent, Omole Phase 1, Ikeja, Lagos",Hotels and Guest Houses
Watercress Hotels,Kosofe,"48 Oritshe Street, Off Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
Presken Hotel @ Maryland,Kosofe,"131 Obafemi Awolowo Way, Ikeja, Lagos",Hotels and Guest Houses
De Rigg Place,Lagos Mainland,"6 Rafiu Shittu Street, Surulere, Lagos",Hotels and Guest Houses
God's Touch Apartments,Lagos Mainland,"3 Olaribigbe Street, Off Governor's Road, Ikotun, Lagos",Hotels and Guest Houses
Ivy Hotel Emerald,Lagos Mainland,"6 Akinola Street, Off Akinyele Bus Stop, Egbeda, Lagos",Hotels and Guest Houses
Joygate Hotel & Suites,Lagos Mainland,"1-5 Joygate Street, Off LASU-Isheri Expressway, Alimosho, Lagos",Hotels and Guest Houses
De Rigg Place,Mushin,"6 Rafiu Shittu Street, Surulere, Lagos",Hotels and Guest Houses
God's Touch Apartments,Mushin,"3 Olaribigbe Street, Off Governor's Road, Ikotun, Lagos",Hotels and Guest Houses
Ivy Hotel Emerald,Mushin,"6 Akinola Street, Off Akinyele Bus Stop, Egbeda, Lagos",Hotels and Guest Houses
Joygate Hotel & Suites,Mushin,"1-5 Joygate Street, Off LASU-Isheri Expressway, Alimosho, Lagos",Hotels and Guest Houses
De Rigg Place,Oshodi/Isolo,"6 Rafiu Shittu Street, Surulere, Lagos",Hotels and Guest Houses
God's Touch Apartments,Oshodi/Isolo,"3 Olaribigbe Street, Off Governor's Road, Ikotun, Lagos",Hotels and Guest Houses
Ivy Hotel Emerald,Oshodi/Isolo,"6 Akinola Street, Off Akinyele Bus Stop, Egbeda, Lagos",Hotels and Guest Houses
Joygate Hotel & Suites,Oshodi/Isolo,"1-5 Joygate Street, Off LASU-Isheri Expressway, Alimosho, Lagos",Hotels and Guest Houses
BANA Hotel & Suites,Ajeromi-Ifelodun,"176 Idewu Street, Olodi Apapa, beside White House",Hotels and Guest Houses
Harvesters Hotel,Ajeromi-Ifelodun,"No 85 Ojo Road, Ajegunle",Hotels and Guest Houses
J27 Lounge and Suites,Ajeromi-Ifelodun,"2 Idowu Akindele Crescent, beside Oba Ojoras Palace",Hotels and Guest Houses
Jolad Hotel and Suite,Ajeromi-Ifelodun,"56 Muri Ojora Street, Amukoko",Hotels and Guest Houses
Jonesville Hotel,Ajeromi-Ifelodun,"234 Ladipo Street, Adekunle",Hotels and Guest Houses
Naowa Shopping Complex,Ajeromi-Ifelodun,"Ojo Road, Ajeromi-Ifelodun 102103, Lagos, Nigeria",Shopping malls
Naowa Shopping Complex,Agege,"Ojo Road, Agege, Lagos",Shopping malls
Palms Shopping Mall,Eti-Osa,"1 Bisway Street, Maroko, Lekki, Lagos",Shopping malls
Cinnamon Garden Outlet Mall,Eti-Osa,"Eti-Osa, Lagos",Shopping malls
City Mall,Lagos Island,"Onikan, Lagos Island, Lagos",Shopping malls
Ikeja City Mall,Ikeja,"Obafemi Awolowo Way, Alausa, Ikeja, Lagos",Shopping malls
Novare Lekki Mall,Lekki,"Sangotedo, Lekki, Lagos",Shopping malls
Mega Plaza Century 21 Mall,Victoria Island,"14 Idowu Martins Street, Victoria Island, Lagos",Shopping malls
Fourteen36 Mall,Victoria Island,"1436 Sanusi Fafunwa Street, Victoria Island, Lagos",Shopping malls
Bijoux Mall,Victoria Island,"12 Anifowoshe Street, Victoria Island, Lagos",Shopping malls
Ikoyi Mall,Ikoyi,"Awolowo Road, Ikoyi, Lagos",Shopping malls
Novare Lekki Mall,Sangotedo,"Sangotedo, Lekki, Lagos",Shopping malls
Lagos Business School,Eti-Osa,"Km 22, Lekki-Epe Expressway, Ajah, Lagos",Educational Institutions
Pan-Atlantic University,Eti-Osa,"Km 52, Lekki-Epe Expressway, Ibeju-Lekki, Lagos",Educational Institutions
American International School,Eti-Osa,"1004 Estate, Victoria Island, Lagos",Educational Institutions
Nigerian Law School,Lagos Island,"Ozumba Mbadiwe Avenue, Victoria Island, Lagos",Educational Institutions
Federal College of Fisheries and Marine Technology,Lagos Island,"Wilmot Point Road, Victoria Island, Lagos",Educational Institutions
Nigerian Institute of Journalism,Ikeja,"8-14, Ijaiye Road, Ogba, Ikeja, Lagos",Educational Institutions
Victory Institute of Catering and Hotel Management,Ikeja,"1, Olaniyan Close, Off Aina Street, Ojodu, Ikeja, Lagos",Educational Institutions
Nigerian Army School of Signals,Apapa,"Mobil Road, Apapa, Lagos",Educational Institutions
Nigerian Institute of Shipping,Apapa,"2, Bombay Crescent, Apapa, Lagos",Educational Institutions
Crumbies Chef Academy,Lekki,"14, Fola Osibo Street, Lekki Phase 1, Lagos",Educational Institutions
Culinary Academy,Lekki,"50a, Glover Court Road, Ikoyi, Lagos",Educational Institutions
Metropolitan School of Business and Management,Victoria Island,"1, Adeola Odeku Street, Victoria Island, Lagos",Educational Institutions
International School of Management,Victoria Island,"5, Yesufu Abiodun Street, Oniru Estate, Victoria Island, Lagos",Educational Institutions
Lagos City Computer College,Ikoyi,"3, Obalende Road, Ikoyi, Lagos",Educational Institutions
Wavecrest College of Hospitality,Ikoyi,"75, Adisa Bashua Street, Surulere, Lagos",Educational Institutions
National Open University of Nigeria,Victoria island,"14/16 Ahmadu Bello Way, Victoria Island, Lagos",Educational Institutions
Pan-Atlantic University,Ibeju Lekki,"Km 52, Lekki-Epe Expressway, Ibeju-Lekki, Lagos",Educational Institutions
University of Lagos (UNILAG),Lagos Mainland,"Akoka, Yaba, Lagos",Educational Institutions
Eric Kayser,Victoria Island,864A Bishop Aboyade Cole Street,Carteens and Cafes
Art Café,Victoria Island,282 Akin Olugbade Street,Carteens and Cafes
Café One,Lekki,"Lennox Mall, Admiralty Way",Carteens and Cafes
My Coffee Lagos,Victoria Island,21C Akin Ogunlewe Street,Carteens and Cafes
Vestar Coffee,Victoria Island,26 Oju Olobun Close,Carteens and Cafes
Café Neo,Victoria Island,6A Eletu Ogabi Street,Carteens and Cafes
Godaïf Village,Ikoyi,26B Turnbull Road,Carteens and Cafes
Maison Kayser,Ikoyi,9 Osborne Road,Carteens and Cafes
Ohlala Café,Ikoyi,3 Thompson Avenue,Carteens and Cafes
Café One,Yaba,"E-Center, 1-11 Commercial Avenue",Carteens and Cafes
Choco Latte,Ikeja,40 Isaac John Street,Carteens and Cafes
Krispy Kreme,Ikeja,"Ikeja City Mall, 174/194 Obafemi Awolowo Way",Carteens and Cafes
Ouida Café,Ikeja,3c Oba Dosumu Street,Carteens and Cafes
Bourbon House Café,Victoria Island,26A Oju Olobun Close,Carteens and Cafes
Pause Café,Lekki,"The Palms Shopping Centre, 1 Bisway Street",Carteens and Cafes
Moonshine Café,Lekki,7A Admiralty Road,Carteens and Cafes
MyYa’s Café,Lekki,"Plot 1, Block 4 Admiralty Road",Carteens and Cafes
Freshforte,Lekki,12E Admiralty Way,Carteens and Cafes
Dulce Café & Bakery,Ikoyi,"Behind Slashpoint Supermarket, 15 Glover Road",Carteens and Cafes
The Kofe Club,Lekki,"Shop 11, Trocadero Square, The Rock Drive",Carteens and Cafes
Breadline Café,Ogudu,38a Ogudu Road,Carteens and Cafes
ART Café,Victoria Island,282 Akin Olugbade Street,Carteens and Cafes
The Studio - Coffee Roasters & Café,Lagos Mainland,R. Soeiro da Costa 20,Carteens and Cafes
